,test_set,tr_epoch,pred,label,test_score,data_normalized
0,0.2,20,[1 1 1 1 1 1 1 1 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6213282942771912, 0.75]",normalized
1,0.2,30,[1 1 1 1 1 0 1 0 1 1 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6468111872673035, 0.6666666865348816]",normalized
2,0.2,40,[1 1 1 1 1 0 1 0 1 1 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6175420880317688, 0.6666666865348816]",normalized
3,0.2,50,[0 1 0 1 0 0 0 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6891528964042664, 0.5833333134651184]",normalized
4,0.2,60,[0 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6394063830375671, 0.6666666865348816]",normalized
5,0.2,70,[0 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6148672103881836, 0.6666666865348816]",normalized
6,0.2,80,[1 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6112706065177917, 0.75]",normalized
7,0.2,90,[0 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6573533415794373, 0.6666666865348816]",normalized
8,0.2,100,[0 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[0.6625798344612122, 0.6666666865348816]",normalized
9,0.3,20,[0 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7204411029815674, 0.5]",normalized
10,0.3,30,[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7339358329772949, 0.4444444477558136]",normalized
11,0.3,40,[0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7303650379180908, 0.5555555820465088]",normalized
12,0.3,50,[0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7364193797111511, 0.5555555820465088]",normalized
13,0.3,60,[0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7352089881896973, 0.5555555820465088]",normalized
14,0.3,70,[0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7462310791015625, 0.5555555820465088]",normalized
15,0.3,80,[0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7575891613960266, 0.5555555820465088]",normalized
16,0.3,90,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.771270215511322, 0.5]",normalized
17,0.3,100,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.7590370774269104, 0.5]",normalized
18,0.4,20,[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.8074951171875, 0.5416666865348816]",normalized
19,0.4,30,[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.7925899624824524, 0.5416666865348816]",normalized
20,0.4,40,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.733065128326416, 0.5833333134651184]",normalized
21,0.4,50,[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.8193960189819336, 0.5]",normalized
22,0.4,60,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.7002535462379456, 0.5833333134651184]",normalized
23,0.4,70,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.6978785991668701, 0.5833333134651184]",normalized
24,0.4,80,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.7213988304138184, 0.5833333134651184]",normalized
25,0.4,90,[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.7575882077217102, 0.5]",normalized
26,0.4,100,[0 1 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[0.6713285446166992, 0.5833333134651184]",normalized
27,0.2,20,[0 0 0 0 0 0 0 0 1 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1],"[35.265533447265625, 0.3333333432674408]",not normalized
28,0.2,30,[0 0 0 1 0 0 0 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[31.19182777404785, 0.5]",not normalized
29,0.2,40,[0 1 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1],"[18.784883499145508, 0.3333333432674408]",not normalized
30,0.2,50,[0 1 1 1 1 0 1 0 1 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[3.2358295917510986, 0.6666666865348816]",not normalized
31,0.2,60,[0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1],"[18.870058059692383, 0.25]",not normalized
32,0.2,70,[0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1],"[17.87589454650879, 0.25]",not normalized
33,0.2,80,[1 1 1 1 1 1 1 1 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[9.53736400604248, 0.75]",not normalized
34,0.2,90,[1 1 1 1 1 1 1 1 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[13.946440696716309, 0.75]",not normalized
35,0.2,100,[1 1 1 1 1 1 1 1 1 0 1 1],[1 1 0 1 1 0 1 1 1 0 1 1],"[1.7765306234359741, 0.8333333134651184]",not normalized
36,0.3,20,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[1.451098918914795, 0.7777777910232544]",not normalized
37,0.3,30,[0 1 1 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[2.594336748123169, 0.5]",not normalized
38,0.3,40,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[11.70168685913086, 0.2222222238779068]",not normalized
39,0.3,50,[0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[8.799936294555664, 0.3333333432674408]",not normalized
40,0.3,60,[0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[5.523818016052246, 0.3333333432674408]",not normalized
41,0.3,70,[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[11.175286293029785, 0.2777777910232544]",not normalized
42,0.3,80,[0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[1.6330301761627197, 0.6111111044883728]",not normalized
43,0.3,90,[0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[1.603344440460205, 0.6111111044883728]",not normalized
44,0.3,100,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[2.0627856254577637, 0.8333333134651184]",not normalized
45,0.4,20,[0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[3.023759126663208, 0.5833333134651184]",not normalized
46,0.4,30,[0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[4.028287410736084, 0.4583333432674408]",not normalized
47,0.4,40,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[2.8861048221588135, 0.8333333134651184]",not normalized
48,0.4,50,[0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[4.995530605316162, 0.5]",not normalized
49,0.4,60,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[22.154516220092773, 0.2083333283662796]",not normalized
50,0.4,70,[0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[2.846461534500122, 0.5833333134651184]",not normalized
51,0.4,80,[0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[3.2695648670196533, 0.5]",not normalized
52,0.4,90,[0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[3.1765708923339844, 0.5416666865348816]",not normalized
53,0.4,100,[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1],"[11.745070457458496, 0.2916666567325592]",not normalized
